OmaTunniste;OmaIt;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;01_Bjdamm;01_Bjdamm;20080101;2008;01;01;16.8;59.2;0.2;0.8;-1.3;4.3;331.88;5.69
;;;01_Bjdamm;01_Bjdamm;20080102;2008;01;02;16.8;59.2;-0.4;1.3;-0.9;2.7;176.94;5.32
;;;01_Bjdamm;01_Bjdamm;20080103;2008;01;03;16.8;59.2;-1.7;-0.6;-3.0;1.6;767.12;4.71
;;;01_Bjdamm;01_Bjdamm;20080104;2008;01;04;16.8;59.2;-1.9;-1.0;-3.4;0.0;548.5;4.0
;;;01_Bjdamm;01_Bjdamm;20080105;2008;01;05;16.8;59.2;-1.0;-0.8;-2.1;1.0;145.98;4.49
;;;01_Bjdamm;01_Bjdamm;20080106;2008;01;06;16.8;59.2;-0.0;0.4;-0.9;2.0;363.53;5.52
;;;01_Bjdamm;01_Bjdamm;20080107;2008;01;07;16.8;59.2;1.0;1.5;0.0;1.8;505.3;6.13
;;;01_Bjdamm;01_Bjdamm;20080108;2008;01;08;16.8;59.2;1.4;2.6;0.8;3.0;324.25;6.34
;;;01_Bjdamm;01_Bjdamm;20080109;2008;01;09;16.8;59.2;1.8;3.1;0.3;4.5;588.2;6.51
;;;01_Bjdamm;01_Bjdamm;20080110;2008;01;10;16.8;59.2;1.4;2.9;0.3;4.1;653.83;6.24
;;;01_Bjdamm;01_Bjdamm;20080111;2008;01;11;16.8;59.2;4.3;6.6;2.0;0.2;1785.02;7.06
;;;01_Bjdamm;01_Bjdamm;20080112;2008;01;12;16.8;59.2;3.1;4.3;1.3;1.0;314.06;7.02
;;;01_Bjdamm;01_Bjdamm;20080113;2008;01;13;16.8;59.2;2.1;4.5;0.7;0.4;2073.42;5.95
;;;01_Bjdamm;01_Bjdamm;20080114;2008;01;14;16.8;59.2;4.3;5.0;1.8;0.0;2053.69;7.05
;;;01_Bjdamm;01_Bjdamm;20080115;2008;01;15;16.8;59.2;3.0;4.7;1.5;2.6;908.71;6.51
;;;01_Bjdamm;01_Bjdamm;20080116;2008;01;16;16.8;59.2;4.3;4.5;3.7;4.6;457.34;7.54
;;;01_Bjdamm;01_Bjdamm;20080117;2008;01;17;16.8;59.2;3.9;5.8;2.1;0.0;2036.56;6.24
;;;01_Bjdamm;01_Bjdamm;20080118;2008;01;18;16.8;59.2;2.4;3.9;-2.2;6.4;316.98;6.7
;;;01_Bjdamm;01_Bjdamm;20080119;2008;01;19;16.8;59.2;5.2;6.6;3.2;0.0;1433.16;6.6
;;;01_Bjdamm;01_Bjdamm;20080120;2008;01;20;16.8;59.2;3.2;5.3;0.9;0.0;1861.99;5.62
;;;01_Bjdamm;01_Bjdamm;20080121;2008;01;21;16.8;59.2;2.4;5.3;-0.3;0.6;803.27;6.11
;;;01_Bjdamm;01_Bjdamm;20080122;2008;01;22;16.8;59.2;-0.9;0.6;-2.0;0.0;1712.09;4.36
;;;01_Bjdamm;01_Bjdamm;20080123;2008;01;23;16.8;59.2;-4.8;-0.6;-8.4;5.2;1170.94;3.83
;;;01_Bjdamm;01_Bjdamm;20080124;2008;01;24;16.8;59.2;3.1;6.8;-2.4;0.0;2335.93;6.85
;;;01_Bjdamm;01_Bjdamm;20080125;2008;01;25;16.8;59.2;4.5;7.4;1.7;0.5;935.46;6.48
;;;01_Bjdamm;01_Bjdamm;20080126;2008;01;26;16.8;59.2;3.0;6.3;0.1;0.0;755.86;6.11
;;;01_Bjdamm;01_Bjdamm;20080127;2008;01;27;16.8;59.2;-0.2;2.3;-1.4;0.0;3486.74;3.74
;;;01_Bjdamm;01_Bjdamm;20080128;2008;01;28;16.8;59.2;0.5;3.6;-4.7;0.0;1319.44;5.19
;;;01_Bjdamm;01_Bjdamm;20080129;2008;01;29;16.8;59.2;5.8;7.8;-0.8;4.0;982.94;8.2
;;;01_Bjdamm;01_Bjdamm;20080130;2008;01;30;16.8;59.2;2.2;6.6;0.3;4.5;946.76;6.86
;;;01_Bjdamm;01_Bjdamm;20080131;2008;01;31;16.8;59.2;0.9;2.4;-1.3;1.1;2974.18;5.63
;;;01_Bjdamm;01_Bjdamm;20080201;2008;02;01;16.8;59.2;2.2;3.4;0.8;3.0;1413.58;6.14
;;;01_Bjdamm;01_Bjdamm;20080202;2008;02;02;16.8;59.2;0.4;3.8;-2.2;6.0;2140.81;5.88
;;;01_Bjdamm;01_Bjdamm;20080203;2008;02;03;16.8;59.2;0.6;3.6;-6.8;3.8;998.64;6.11
;;;01_Bjdamm;01_Bjdamm;20080204;2008;02;04;16.8;59.2;0.5;3.7;-3.8;0.0;3074.87;5.61
;;;01_Bjdamm;01_Bjdamm;20080205;2008;02;05;16.8;59.2;0.7;2.2;-0.2;1.1;2451.56;5.85
